receiver,positionX,positionY,positionZ,speedX,speedY,speedZ,headingX,headingY,headingZ,distance,sender,senderPosX,senderPosY,senderPosZ,senderSpeed,senderSpeedX,senderSpeedY,senderSpeedZ,senderHeadingX,senderHeadingY,senderHeadingZ,senderAccel,senderGPSPosX,senderGPSPosY,senderGPSPosZ,attackType,senderType,senderDistTraveled,isRSU,RSS,arrivalTime
58,3583.424269,1470.967296,0.000000,10.996918,-4.473819,0.000000,0.926281,-0.376834,0.000000,263.115,40,3420.571636,1264.307166,0.000000,7.923226,-3.084598,-7.298134,0.000000,-0.389311,-0.921106,0.000000,0.335842,-48.020005,-15.839320,0.000000,0,0,7.91517,0,-87.0724,32.679
28,1381.041931,474.713401,0.000000,-14.260492,8.799177,0.000000,-0.851032,0.525114,0.000000,103.083,34,1459.745328,541.285790,0.000000,6.497389,1.199409,-6.385725,0.000000,0.184599,-0.982814,0.000000,1.32709,-48.038430,-15.833032,0.000000,0,0,6.17078,0,-78.8957,33.0203
70,661.148471,1470.375687,0.000000,3.941206,-13.474650,0.000000,0.280729,-0.959787,0.000000,414.179,94,834.016866,1846.754656,0.000000,15.219493,-6.396970,-13.809843,0.000000,-0.420314,-0.907379,0.000000,0.313738,-48.044021,-15.844969,0.000000,0,0,15.3191,0,-89.9233,33.2156
94,834.016866,1846.754656,0.000000,-6.396970,-13.809843,0.000000,-0.420314,-0.907379,0.000000,414.179,70,661.148471,1470.375687,0.000000,14.039205,3.941206,-13.474650,0.000000,0.280729,-0.959787,0.000000,2.19915,-48.045773,-15.841590,0.000000,0,0,13.949,0,-89.92,33.2902
34,1459.745328,541.285790,0.000000,1.199409,-6.385725,0.000000,0.184599,-0.982814,0.000000,1492.9,28,50.000000,50.000000,0.000000,16.756705,-14.260492,8.799177,0.000000,-0.851032,0.525114,0.000000,0.576217,-48.051629,-15.828721,0.000000,2,1,0,0,-79.0434,33.529
28,1367.731474,486.035635,0.000000,-12.688565,11.079447,0.000000,-0.753254,0.657729,0.000000,103.925,34,1460.754464,532.373705,0.000000,8.987985,0.990701,-8.933218,0.000000,0.110225,-0.993907,0.000000,2.4906,-48.038417,-15.832978,0.000000,0,0,8.96904,0,-78.9042,34.0203
70,665.007529,1454.547772,0.000000,7.329770,-14.471552,0.000000,0.451843,-0.892097,0.000000,412.079,94,827.281564,1833.330807,0.000000,15.018710,-6.735267,-13.423779,0.000000,-0.448458,-0.893804,0.000000,-0.200783,-48.044081,-15.844844,0.000000,0,0,15.0188,0,-89.7252,34.2156
40,3414.142316,1249.095447,0.000000,-3.198928,-7.568637,0.000000,-0.389311,-0.921106,0.000000,439.539,16,3230.000000,850.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0,1,-90.8333,34.2364
94,827.281564,1833.330807,0.000000,-6.735267,-13.423779,0.000000,-0.448458,-0.893804,0.000000,412.079,70,665.007529,1454.547772,0.000000,16.221940,7.329770,-14.471552,0.000000,0.451843,-0.892097,0.000000,2.18273,-48.045743,-15.841468,0.000000,0,0,16.2916,0,-89.7216,34.2902
58,3601.220771,1453.434761,0.000000,4.317902,-11.393803,0.000000,0.354375,-0.935103,0.000000,89.311,22,3654.532444,1381.780554,0.000000,8.342763,-4.263211,-7.171242,0.000000,-0.511007,-0.859576,0.000000,-0.241608,-48.017794,-15.840348,0.000000,0,0,49.0807,0,-76.5313,34.4377
34,1460.754464,532.373705,0.000000,0.990701,-8.933218,0.000000,0.110225,-0.993907,0.000000,1490.94,28,50.000000,50.000000,0.000000,16.844995,-12.688565,11.079447,0.000000,-0.753254,0.657729,0.000000,0.08829,-48.051629,-15.828721,0.000000,2,1,0,0,-78.8808,34.529
22,3654.532444,1381.780554,0.000000,-4.263211,-7.171242,0.000000,-0.511007,-0.859576,0.000000,89.311,58,3601.220771,1453.434761,0.000000,12.184540,4.317902,-11.393803,0.000000,0.354375,-0.935103,0.000000,-0.551168,-48.018384,-15.841036,0.000000,0,0,132.683,0,-76.4112,34.5653
28,1358.118844,501.175510,0.000000,-8.106489,15.218011,0.000000,-0.470146,0.882588,0.000000,105.861,34,1461.896539,522.075546,0.000000,10.360525,1.141990,-10.297395,0.000000,0.110225,-0.993907,0.000000,1.37254,-48.038409,-15.832897,0.000000,0,0,10.3613,0,-78.4079,35.0203
